abricot;#E67E30
absinthe;#7FDD4C
acajou;#88421D
aigue-marine;#79F8F8
aile de corbeau;#000000
albâtre;#FEFEFE
alezan;#A76726
amande;#82C46C
amarante;#91283B
ambre jaune;#F0C300
ambre rouge;#AD390E
améthyste;#884DA7
anthracite;#303030
aquilain;#AD4F09
ardoise;#5A5E6B
argent;#CECECE
argile;#EFEFEF
asperge;#7BA05B
aubergine;#370028
auburn;#9D3E0C
aurore;#FFCB60
auréoline;#FDEE00
avocat;#568203
azur brume;#F0FFFF
azur clair;#74D0F1
azur;#007FFF
azurin;#A9EAFE
baillet;#AE642D
banane;#D1B606
basané;#8B6C42
beige clair;#F5F5DC
beige;#C8AD7F
beigeasse;#AFA77B
beurre frais;#FFF48D
beurre;#F0E36B
bis;#766F64
bisque;#FFE4C4
bistre;#856D4D
bitume;#4E3D28
blanc cassé;#FEFEE2
blanc d'argent;#FEFEFE
blanc d'espagne;#FEFDF0
blanc de lait;#FBFCFA
blanc de meudon;#FEFDF0
blanc de plomb;#FEFEFE
blanc de troyes;#FEFDF0
blanc de zinc;#F6FEFE
blanc lunaire;#F4FEFE
blanc;#FFFFFF
bleu acier;#3A8EBA
bleu barbeau;#5472AE
bleu canard;#048B9A
bleu charrette;#8EA2C6
bleu ciel;#77B5FE
bleu céleste;#26C4EC
bleu de berlin;#24445C
bleu de cobalt;#22427C
bleu de france;#318CE7
bleu de minuit;#003366
bleu de prusse;#24445C
bleu des mers du sud;#00CCCB
bleu dragée;#DFF2FF
bleu fumée;#BBD2E1
bleu givré;#80D0D0
bleu guède;#56739A
bleu hussard;#24445C
bleu klein;#002FA7
bleu majorelle;#6050DC
bleu nuit;#0F056B
bleu outremer;#1B019B
bleu paon;#067790
bleu persan;#6600FF
bleu pétrole;#1D4851
bleu roi;#318CE7
bleu turquin;#425B8A
bleu électrique;#2C75FF
bleu;#0080FF
bleuet;#5472AE
blond vénitien;#E7A854
blond;#E2BC74
blé;#E8D630
bordeaux;#6D071A
bourgogne;#6B0D0D
bouton d'or;#FCDC12
brique;#842E1B
bronze;#614E1A
brou de noix;#3F2204
brun clair;#CD853F
brun;#5B3C11
bureau;#6B5731
caca d'oie;#CDCD0D
cacao;#614B3A
cachou;#2F1B0C
café au lait;#785E2F
café;#462E01
cannelle;#7E5835
capucine;#FF5E4D
caramel;#7E3300
carmin;#960018
carotte;#F4661B
cerise hollywood;#F400A1
cerise profonde;#DA3287
cerise rose;#EC3B83
cerise;#DE3163
chair;#FEC3AC
chamois;#D0C07A
chartreuse;#7FFF00
chaudron;#85530F
chocolat;#5A3A22
châtaigne;#806D5A
châtain;#8B6C42
cinabre;#DB1702
citron;#F7FF3C
citrouille;#DF6D14
colombin;#6A455D
coquelicot;#C60800
coquille d'œuf;#FDE9E0
corail;#E73E01
cramoisi;#DC143C
crème;#FDF1B8
cuisse de nymphe émue;#FF69B4
cuisse de nymphe;#FEE7F0
