afrikaans;af
albanais;sq
allemand;de
anglais;en
arabe;ar
azéri;az
basque;eu
bengali;bn
biélorusse;be
bulgare;bg
catalan;ca
chinois simplifié;zh-CN
chinois traditionnel;zh-TW
corêen;ko
croate;hr
créole haïtien;ht
danois;da
espagnol;es
espéranto;eo
estonien;et
filipino;tl
finnois;fi
français;fr
galicien;gl
gallois;cy
grec;el
gujarati;gu
géorgien;ka
hindi;hi
hongrois;hu
hébreu;iw
indonésien;id
irlandais;ga
islandais;is
italien;it
japonais;ja
kannada;kn
latin;la
letton;lv
lituanien;lt
macédonien;mk
malais;ms
maltais;mt
norvégien;no
néerlandais;nl
persan;fa
polonais;pl
portugais;pt
roumain;ro
russe;ru
serbe;sr
slovaque;sk
slovène;sl
suédois;sv
swahili;sw
tamil;ta
tamoul;ta
tchèque;cs
telugu;te
thaï;th
turc;tr
ukrainien;uk
urdu;ur
vietnamien;vi
yiddish;yi
